dt,comptime,Phe_Bid,Phe_Ask,Phe_bid_chng,Phe_ask_chng,phe_sig,Phediff,btc_price
12/03/2022 08:58:29,1670075909.0,423133000.0,418933000.0,,,,,
12/03/2022 08:59:09,1670075949.0,449527000.0,416474000.0,0.06,-0.01,,,
12/03/2022 09:18:43,1670077123.0,497060000.0,508465000.0,0.1,0.18,,,
12/03/2022 09:20:01,1670077201.0,515635000.0,492853000.0,0.04,-0.03,,,
12/03/2022 09:20:29,1670077229.0,502885000.0,506005000.0,-0.03,0.03,,,
12/03/2022 09:20:58,1670077258.0,498421000.0,495902000.0,-0.01,-0.02,,,
12/03/2022 09:21:26,1670077286.0,499440000.0,474916000.0,0.0,-0.04,,,
12/03/2022 09:21:54,1670077314.0,435766000.0,468207000.0,-0.15,-0.01,,,
12/03/2022 09:22:23,1670077343.0,481886000.0,486294000.0,0.1,0.04,,,
12/03/2022 09:22:51,1670077371.0,502312000.0,498487000.0,0.04,0.02,,,
12/03/2022 09:23:19,1670077399.0,501885000.0,498319000.0,-0.0,-0.0,,,
12/03/2022 09:23:48,1670077428.0,507587000.0,479023000.0,0.01,-0.04,,,
12/03/2022 09:24:16,1670077456.0,355540000.0,496205000.0,-0.43,0.03,,,
12/03/2022 09:24:44,1670077484.0,257196000.0,401302000.0,-0.38,-0.24,,,
12/03/2022 09:25:13,1670077513.0,328138000.0,437998000.0,0.22,0.08,,,
12/03/2022 09:25:41,1670077541.0,326870000.0,439278000.0,-0.0,0.0,,,
12/03/2022 09:26:09,1670077569.0,361032000.0,447119000.0,0.09,0.02,,,
12/03/2022 09:26:38,1670077598.0,363665000.0,435863000.0,0.01,-0.03,,,
12/03/2022 09:27:06,1670077626.0,362247000.0,490889000.0,-0.0,0.11,,,
12/03/2022 09:27:35,1670077655.0,432725000.0,464286000.0,0.16,-0.06,,,
12/03/2022 09:28:03,1670077683.0,346708000.0,412910000.0,-0.25,-0.12,,,
12/03/2022 09:28:31,1670077711.0,358158000.0,405013000.0,0.03,-0.02,,,
12/03/2022 09:29:00,1670077740.0,372174000.0,446916000.0,0.04,0.09,,,
12/03/2022 09:29:28,1670077768.0,353074000.0,486097000.0,-0.05,0.08,,,
12/03/2022 09:29:57,1670077797.0,291663000.0,413181000.0,-0.21,-0.18,,,
12/03/2022 09:30:15,1670077815.0,361904000.0,428466000.0,0.19,0.04,,,
