symbol,datetime,side,price,amount,usd,epoch,buy_amount,sell_amount
BTC/USD:USD,2022-12-05 15:36:03,buy,17082.0,183.0,3124.07,1670254563.0,3124.07,0.0
BTC/USD:USD,2022-12-05 16:02:16,buy,17081.3,100.0,1701.97,1670256136.0,1701.97,0.0
BTC/USD:USD,2022-12-05 16:02:16,buy,17081.3,100.0,1701.97,1670256136.0,1701.97,0.0
BTC/USD:USD,2022-12-05 16:02:35,buy,17079.5,200.0,3403.94,1670256155.0,3403.94,0.0
BTC/USD:USD,2022-12-05 16:02:35,buy,17081.5,75.0,1276.48,1670256155.0,1276.48,0.0
BTC/USD:USD,2022-12-05 16:02:47,buy,17077.0,100.0,1701.97,1670256167.0,1701.97,0.0
BTC/USD:USD,2022-12-05 16:02:47,buy,17077.1,144.0,2450.84,1670256167.0,2450.84,0.0
BTC/USD:USD,2022-12-05 16:03:39,sell,17076.4,253.0,4305.98,1670256219.0,0.0,4305.98
BTC/USD:USD,2022-12-05 16:04:25,sell,17076.4,125.0,2127.46,1670256265.0,0.0,2127.46
BTC/USD:USD,2022-12-05 16:04:32,buy,17076.5,95.0,1616.87,1670256272.0,1616.87,0.0
BTC/USD:USD,2022-12-05 16:05:34,sell,17087.8,190.0,3233.74,1670256334.0,0.0,3233.74
BTC/USD:USD,2022-12-05 16:05:34,sell,17087.7,190.0,3233.74,1670256334.0,0.0,3233.74
BTC/USD:USD,2022-12-05 16:05:34,sell,17087.6,120.0,2042.36,1670256334.0,0.0,2042.36
BTC/USD:USD,2022-12-05 16:05:37,buy,17087.0,168.0,2859.31,1670256337.0,2859.31,0.0
BTC/USD:USD,2022-12-05 16:06:10,sell,17085.2,190.0,3233.74,1670256370.0,0.0,3233.74
BTC/USD:USD,2022-12-05 16:06:10,sell,17085.1,190.0,3233.74,1670256370.0,0.0,3233.74
BTC/USD:USD,2022-12-05 16:06:10,sell,17085.0,200.0,3403.94,1670256370.0,0.0,3403.94
BTC/USD:USD,2022-12-05 16:06:10,sell,17084.8,133.0,2263.62,1670256370.0,0.0,2263.62
BTC/USD:USD,2022-12-05 16:06:12,sell,17085.1,143.0,2433.82,1670256372.0,0.0,2433.82
BTC/USD:USD,2022-12-05 16:07:38,buy,17089.0,111.0,1889.19,1670256458.0,1889.19,0.0
BTC/USD:USD,2022-12-05 16:07:44,sell,17091.0,109.0,1855.15,1670256464.0,0.0,1855.15
