datetime,open,high,low,close,volume
2022-09-20 00:00:00,1.56,1.66,1.509,1.527,77422.8
2022-09-21 00:00:00,1.529,1.596,1.442,1.471,66818.74
2022-09-22 00:00:00,1.477,1.548,1.472,1.539,34913.89
2022-09-23 00:00:00,1.544,1.655,1.467,1.581,66342.89
2022-09-24 00:00:00,1.588,1.694,1.543,1.646,181199.05
2022-09-25 00:00:00,1.637,1.996,1.61,1.796,315992.49
2022-09-26 00:00:00,1.795,1.941,1.686,1.784,429293.54
2022-09-27 00:00:00,1.782,1.849,1.699,1.739,158988.5
2022-09-28 00:00:00,1.735,1.751,1.625,1.716,79305.33
2022-09-29 00:00:00,1.716,1.716,1.638,1.673,70147.94
2022-09-30 00:00:00,1.673,1.759,1.64,1.698,97817.24
2022-10-01 00:00:00,1.707,1.721,1.645,1.65,43526.25
2022-10-02 00:00:00,1.654,1.68,1.552,1.552,44960.35
2022-10-03 00:00:00,1.56,1.751,1.557,1.708,86648.32
2022-10-04 00:00:00,1.708,1.891,1.694,1.8,171872.63
2022-10-05 00:00:00,1.801,1.985,1.763,1.918,322295.09
2022-10-06 00:00:00,1.92,1.933,1.829,1.835,258864.09
2022-10-07 00:00:00,1.851,2.065,1.826,1.992,188198.88
2022-10-08 00:00:00,1.983,2.05,1.951,1.989,158492.68
2022-10-09 00:00:00,1.991,2.016,1.89,1.923,120560.81
2022-10-10 00:00:00,1.924,1.956,1.751,1.751,122933.12
2022-10-11 00:00:00,1.75,1.911,1.7,1.827,148647.03
2022-10-12 00:00:00,1.826,1.842,1.761,1.789,48539.32
2022-10-13 00:00:00,1.787,1.789,1.569,1.742,453965.02
2022-10-14 00:00:00,1.732,1.897,1.723,1.762,103196.53
2022-10-15 00:00:00,1.773,1.787,1.714,1.757,84068.55
2022-10-16 00:00:00,1.761,1.952,1.76,1.909,132721.23
2022-10-17 00:00:00,1.909,2.279,1.887,2.102,376882.87
2022-10-18 00:00:00,2.099,2.166,2.037,2.09,156566.78
2022-10-19 00:00:00,2.086,2.086,1.959,1.977,134929.49
2022-10-20 00:00:00,1.982,2.034,1.818,1.851,263627.04
2022-10-21 00:00:00,1.845,1.9,1.765,1.847,162726.62
2022-10-22 00:00:00,1.841,1.97,1.828,1.914,170660.48
2022-10-23 00:00:00,1.916,1.982,1.897,1.93,191285.94
2022-10-24 00:00:00,1.93,1.93,1.85,1.893,102020.99
2022-10-25 00:00:00,1.903,2.028,1.888,1.96,250328.07
2022-10-26 00:00:00,1.961,2.18,1.924,2.058,162744.64
2022-10-27 00:00:00,2.055,2.192,1.99,2.037,250888.65
2022-10-28 00:00:00,2.039,2.078,1.91,2.05,133432.96
2022-10-29 00:00:00,2.048,2.412,2.036,2.303,489506.04
2022-10-30 00:00:00,2.304,2.427,2.134,2.203,253314.33
2022-10-31 00:00:00,2.213,2.731,2.151,2.439,510088.57
2022-11-01 00:00:00,2.428,2.575,2.278,2.502,541592.28
2022-11-02 00:00:00,2.505,2.68,2.309,2.518,807355.4
2022-11-03 00:00:00,2.514,3.04,2.472,2.641,686935.83
2022-11-04 00:00:00,2.639,2.926,2.614,2.717,462439.89
2022-11-05 00:00:00,2.718,2.998,2.648,2.682,337388.28
2022-11-06 00:00:00,2.683,2.877,2.566,2.613,330034.83
2022-11-07 00:00:00,2.618,2.804,2.418,2.681,369328.24
2022-11-08 00:00:00,2.681,2.753,1.593,1.985,929150.23
2022-11-09 00:00:00,1.978,1.998,1.368,1.453,696348.03
2022-11-10 00:00:00,1.435,1.874,1.432,1.792,203367.86
2022-11-11 00:00:00,1.793,1.872,1.61,1.76,202040.69
2022-11-12 00:00:00,1.767,1.864,1.646,1.708,107108.46
2022-11-13 00:00:00,1.694,1.951,1.694,1.819,219061.06
2022-11-14 00:00:00,1.816,1.822,1.614,1.762,201321.99
2022-11-15 00:00:00,1.762,1.9,1.715,1.802,61777.08
2022-11-16 00:00:00,1.801,1.884,1.708,1.737,50362.77
2022-11-17 00:00:00,1.741,1.75,1.687,1.716,46814.26
2022-11-18 00:00:00,1.721,1.755,1.692,1.737,52056.82
2022-11-19 00:00:00,1.734,1.739,1.667,1.704,54434.88
2022-11-20 00:00:00,1.705,1.735,1.567,1.569,63827.13
2022-11-21 00:00:00,1.569,1.619,1.495,1.563,62527.83
2022-11-22 00:00:00,1.583,1.604,1.462,1.604,73069.38
2022-11-23 00:00:00,1.607,1.839,1.593,1.699,134339.3
2022-11-24 00:00:00,1.7,1.735,1.627,1.665,40774.45
2022-11-25 00:00:00,1.658,1.659,1.55,1.613,39441.5
2022-11-26 00:00:00,1.624,1.654,1.591,1.605,27518.71
2022-11-27 00:00:00,1.605,1.639,1.564,1.576,58444.62
2022-11-28 00:00:00,1.574,1.589,1.485,1.504,48789.35
2022-11-29 00:00:00,1.512,1.7,1.512,1.611,110432.32
2022-11-30 00:00:00,1.631,1.821,1.627,1.762,220408.4
2022-12-01 00:00:00,1.762,1.781,1.66,1.692,70094.81
2022-12-02 00:00:00,1.691,1.707,1.627,1.685,49769.83
2022-12-03 00:00:00,1.685,1.686,1.584,1.608,80846.67
2022-12-04 00:00:00,1.604,1.675,1.602,1.63,30798.25
2022-12-05 00:00:00,1.631,1.685,1.606,1.649,44979.45
2022-12-06 00:00:00,1.648,1.67,1.613,1.654,63793.1
2022-12-07 00:00:00,1.655,1.655,1.566,1.586,39744.79
2022-12-08 00:00:00,1.593,1.64,1.551,1.64,77884.9
2022-12-09 00:00:00,1.64,1.659,1.623,1.648,22584.41
2022-12-10 00:00:00,1.651,1.697,1.635,1.671,67779.18
2022-12-11 00:00:00,1.676,1.693,1.615,1.615,43721.41
2022-12-12 00:00:00,1.609,1.688,1.565,1.667,50974.95
2022-12-13 00:00:00,1.66,1.7,1.589,1.655,89179.23
2022-12-14 00:00:00,1.649,1.667,1.601,1.611,90630.03
2022-12-15 00:00:00,1.604,1.636,1.569,1.575,28196.98
2022-12-16 00:00:00,1.573,1.598,1.383,1.406,86267.9
2022-12-17 00:00:00,1.403,1.448,1.38,1.433,85261.78
2022-12-18 00:00:00,1.43,1.444,1.394,1.409,18097.9
2022-12-19 00:00:00,1.406,1.428,1.3,1.308,31429.6
2022-12-20 00:00:00,1.31,1.397,1.308,1.378,21772.5
2022-12-21 00:00:00,1.365,1.365,1.311,1.324,49968.6
2022-12-22 00:00:00,1.322,1.344,1.287,1.328,25106.67
2022-12-23 00:00:00,1.325,1.343,1.31,1.317,17591.68
2022-12-24 00:00:00,1.315,1.334,1.313,1.315,18825.62
2022-12-25 00:00:00,1.317,1.321,1.291,1.306,16212.68
2022-12-26 00:00:00,1.302,1.326,1.291,1.315,22741.2
2022-12-27 00:00:00,1.316,1.322,1.255,1.27,48795.57
2022-12-28 00:00:00,1.27,1.273,1.224,1.252,53066.5
2022-12-29 00:00:00,1.254,1.295,1.238,1.284,27870.56
2022-12-30 00:00:00,1.286,1.289,1.25,1.273,23751.76
2022-12-31 00:00:00,1.274,1.286,1.263,1.271,23004.08
2023-01-01 00:00:00,1.268,1.277,1.253,1.277,26056.04
2023-01-02 00:00:00,1.277,1.307,1.249,1.298,35917.28
2023-01-03 00:00:00,1.296,1.315,1.279,1.303,31446.23
2023-01-04 00:00:00,1.305,1.37,1.305,1.356,45486.08
2023-01-05 00:00:00,1.359,1.38,1.342,1.353,42411.49
2023-01-06 00:00:00,1.351,1.372,1.313,1.37,35718.06
2023-01-07 00:00:00,1.372,1.391,1.361,1.376,29307.32
2023-01-08 00:00:00,1.376,1.421,1.363,1.417,23756.04
2023-01-09 00:00:00,1.417,1.479,1.413,1.441,49759.56
2023-01-10 00:00:00,1.438,1.456,1.4,1.443,33493.62
