datetime,open,high,low,close,volume
2022-09-20 12:00:00,1.56,1.6,1.53,1.6,12638.5
2022-09-20 18:00:00,1.6,1.66,1.509,1.527,64784.3
2022-09-21 00:00:00,1.529,1.557,1.517,1.517,20787.77
2022-09-21 06:00:00,1.521,1.525,1.488,1.514,8837.6
2022-09-21 12:00:00,1.517,1.543,1.49,1.529,9628.14
2022-09-21 18:00:00,1.53,1.596,1.442,1.471,27565.23
2022-09-22 00:00:00,1.477,1.499,1.472,1.491,9594.07
2022-09-22 06:00:00,1.494,1.539,1.494,1.537,2101.85
2022-09-22 12:00:00,1.543,1.545,1.498,1.527,9710.63
2022-09-22 18:00:00,1.525,1.548,1.519,1.539,13507.34
2022-09-23 00:00:00,1.544,1.563,1.522,1.56,6274.02
2022-09-23 06:00:00,1.562,1.567,1.482,1.487,1856.23
2022-09-23 12:00:00,1.495,1.535,1.467,1.502,17837.59
2022-09-23 18:00:00,1.489,1.655,1.485,1.581,40375.05
2022-09-24 00:00:00,1.588,1.615,1.549,1.57,5989.6
2022-09-24 06:00:00,1.576,1.605,1.543,1.596,25184.27
2022-09-24 12:00:00,1.594,1.694,1.586,1.644,129308.65
2022-09-24 18:00:00,1.64,1.655,1.609,1.646,20716.53
2022-09-25 00:00:00,1.637,1.662,1.61,1.628,17118.78
2022-09-25 06:00:00,1.633,1.708,1.632,1.679,13015.65
2022-09-25 12:00:00,1.679,1.817,1.656,1.786,66212.11
2022-09-25 18:00:00,1.785,1.996,1.753,1.796,219645.95
2022-09-26 00:00:00,1.795,1.89,1.723,1.739,97252.27
2022-09-26 06:00:00,1.728,1.819,1.686,1.721,47269.1
2022-09-26 12:00:00,1.724,1.941,1.722,1.89,171904.87
2022-09-26 18:00:00,1.892,1.906,1.755,1.784,112867.3
2022-09-27 00:00:00,1.782,1.837,1.738,1.808,63528.74
2022-09-27 06:00:00,1.816,1.849,1.765,1.831,16562.72
2022-09-27 12:00:00,1.844,1.849,1.699,1.731,68554.53
2022-09-27 18:00:00,1.728,1.774,1.728,1.739,10342.51
2022-09-28 00:00:00,1.735,1.751,1.625,1.667,25602.49
2022-09-28 06:00:00,1.669,1.684,1.625,1.668,11558.31
2022-09-28 12:00:00,1.666,1.711,1.66,1.699,12553.19
2022-09-28 18:00:00,1.699,1.731,1.689,1.716,29591.34
2022-09-29 00:00:00,1.716,1.716,1.678,1.681,31206.37
2022-09-29 06:00:00,1.682,1.694,1.656,1.681,10789.17
2022-09-29 12:00:00,1.675,1.689,1.638,1.649,16086.6
2022-09-29 18:00:00,1.647,1.683,1.647,1.673,12065.8
2022-09-30 00:00:00,1.673,1.677,1.64,1.656,3313.77
2022-09-30 06:00:00,1.657,1.706,1.648,1.657,8625.22
2022-09-30 12:00:00,1.659,1.747,1.648,1.716,42896.88
2022-09-30 18:00:00,1.718,1.759,1.676,1.698,42981.37
2022-10-01 00:00:00,1.707,1.712,1.668,1.677,4844.07
2022-10-01 06:00:00,1.679,1.721,1.672,1.708,6078.48
2022-10-01 12:00:00,1.711,1.719,1.665,1.669,12169.41
2022-10-01 18:00:00,1.666,1.678,1.645,1.65,20434.29
2022-10-02 00:00:00,1.654,1.68,1.649,1.669,1911.47
2022-10-02 06:00:00,1.667,1.667,1.598,1.63,25788.64
2022-10-02 12:00:00,1.631,1.645,1.611,1.624,7606.39
2022-10-02 18:00:00,1.626,1.64,1.552,1.552,9653.85
2022-10-03 00:00:00,1.56,1.598,1.557,1.592,5560.52
2022-10-03 06:00:00,1.595,1.614,1.575,1.609,2446.77
2022-10-03 12:00:00,1.606,1.702,1.603,1.691,16629.61
2022-10-03 18:00:00,1.686,1.751,1.686,1.708,62011.42
2022-10-04 00:00:00,1.708,1.77,1.706,1.712,46427.12
2022-10-04 06:00:00,1.712,1.794,1.694,1.784,42995.83
2022-10-04 12:00:00,1.774,1.891,1.76,1.83,44464.99
2022-10-04 18:00:00,1.833,1.849,1.8,1.8,37984.69
2022-10-05 00:00:00,1.801,1.83,1.778,1.816,53237.49
2022-10-05 06:00:00,1.811,1.817,1.763,1.784,6583.4
2022-10-05 12:00:00,1.784,1.985,1.777,1.985,175091.92
2022-10-05 18:00:00,1.985,1.985,1.898,1.918,87382.28
2022-10-06 00:00:00,1.92,1.92,1.87,1.902,161128.19
2022-10-06 06:00:00,1.902,1.933,1.858,1.919,63592.61
2022-10-06 12:00:00,1.923,1.923,1.872,1.877,24092.81
2022-10-06 18:00:00,1.876,1.882,1.829,1.835,10050.48
2022-10-07 00:00:00,1.851,1.859,1.826,1.849,6329.68
2022-10-07 06:00:00,1.848,1.916,1.842,1.891,11013.51
2022-10-07 12:00:00,1.891,1.977,1.848,1.919,56930.81
2022-10-07 18:00:00,1.918,2.065,1.916,1.992,113924.88
2022-10-08 00:00:00,1.983,2.041,1.951,1.989,59769.65
2022-10-08 06:00:00,1.988,2.05,1.986,2.003,27243.0
2022-10-08 12:00:00,2.003,2.018,1.964,1.975,53057.15
2022-10-08 18:00:00,1.975,2.003,1.961,1.989,18422.88
2022-10-09 00:00:00,1.991,2.016,1.929,1.947,29713.07
2022-10-09 06:00:00,1.952,1.959,1.916,1.948,6333.46
2022-10-09 12:00:00,1.944,1.961,1.89,1.945,51637.28
2022-10-09 18:00:00,1.943,1.962,1.903,1.923,32877.0
2022-10-10 00:00:00,1.924,1.956,1.91,1.936,13127.04
2022-10-10 06:00:00,1.94,1.94,1.849,1.865,9090.79
2022-10-10 12:00:00,1.865,1.88,1.8,1.818,66064.61
2022-10-10 18:00:00,1.819,1.821,1.751,1.751,34650.68
2022-10-11 00:00:00,1.75,1.864,1.7,1.86,57501.34
2022-10-11 06:00:00,1.864,1.908,1.817,1.891,26423.03
2022-10-11 12:00:00,1.888,1.911,1.857,1.865,36795.94
2022-10-11 18:00:00,1.863,1.867,1.821,1.827,27926.72
2022-10-12 00:00:00,1.826,1.842,1.776,1.797,23210.96
2022-10-12 06:00:00,1.796,1.834,1.793,1.8,6322.5
2022-10-12 12:00:00,1.8,1.801,1.763,1.774,9845.05
2022-10-12 18:00:00,1.767,1.794,1.761,1.789,9160.81
2022-10-13 00:00:00,1.787,1.789,1.701,1.718,40045.8
2022-10-13 06:00:00,1.717,1.719,1.569,1.617,138539.51
2022-10-13 12:00:00,1.617,1.776,1.575,1.744,199645.52
2022-10-13 18:00:00,1.742,1.78,1.734,1.742,75734.19
2022-10-14 00:00:00,1.732,1.848,1.723,1.836,17108.97
2022-10-14 06:00:00,1.829,1.897,1.805,1.854,35317.3
2022-10-14 12:00:00,1.853,1.874,1.799,1.801,23655.22
2022-10-14 18:00:00,1.808,1.808,1.752,1.762,27115.04
2022-10-15 00:00:00,1.773,1.773,1.724,1.735,17468.98
2022-10-15 06:00:00,1.733,1.778,1.714,1.767,25710.88
2022-10-15 12:00:00,1.765,1.787,1.751,1.759,29941.4
2022-10-15 18:00:00,1.756,1.772,1.742,1.757,10947.29
2022-10-16 00:00:00,1.761,1.815,1.76,1.81,13927.43
2022-10-16 06:00:00,1.81,1.838,1.793,1.826,4544.08
2022-10-16 12:00:00,1.826,1.941,1.818,1.9,76975.74
2022-10-16 18:00:00,1.898,1.952,1.882,1.909,37273.98
2022-10-17 00:00:00,1.909,1.95,1.887,1.947,33579.42
2022-10-17 06:00:00,1.947,2.151,1.934,2.09,74896.2
2022-10-17 12:00:00,2.099,2.279,2.077,2.147,158375.97
2022-10-17 18:00:00,2.153,2.186,2.085,2.102,110031.28
2022-10-18 00:00:00,2.099,2.166,2.06,2.106,48599.36
2022-10-18 06:00:00,2.098,2.106,2.037,2.069,22767.38
2022-10-18 12:00:00,2.083,2.108,2.043,2.08,51040.63
2022-10-18 18:00:00,2.069,2.1,2.047,2.09,34159.41
2022-10-19 00:00:00,2.086,2.086,2.023,2.035,31373.8
2022-10-19 06:00:00,2.035,2.07,1.996,2.004,27298.82
2022-10-19 12:00:00,2.003,2.042,1.99,2.014,20183.19
2022-10-19 18:00:00,2.008,2.012,1.959,1.977,56073.68
2022-10-20 00:00:00,1.982,2.034,1.922,2.002,144753.66
2022-10-20 06:00:00,2.001,2.001,1.91,1.936,50742.03
2022-10-20 12:00:00,1.935,1.935,1.856,1.858,28275.51
2022-10-20 18:00:00,1.845,1.869,1.818,1.851,39855.84
2022-10-21 00:00:00,1.845,1.9,1.809,1.861,29532.1
2022-10-21 06:00:00,1.864,1.882,1.816,1.819,31476.31
2022-10-21 12:00:00,1.814,1.862,1.765,1.831,86605.19
2022-10-21 18:00:00,1.831,1.867,1.815,1.847,15113.02
2022-10-22 00:00:00,1.841,1.874,1.828,1.845,7018.85
2022-10-22 06:00:00,1.85,1.85,1.828,1.837,2839.58
2022-10-22 12:00:00,1.836,1.97,1.828,1.961,143618.75
2022-10-22 18:00:00,1.962,1.967,1.909,1.914,17183.3
2022-10-23 00:00:00,1.916,1.957,1.901,1.919,15005.49
2022-10-23 06:00:00,1.917,1.982,1.897,1.972,34218.26
2022-10-23 12:00:00,1.976,1.979,1.917,1.943,87607.66
2022-10-23 18:00:00,1.942,1.948,1.902,1.93,54454.53
2022-10-24 00:00:00,1.93,1.93,1.85,1.873,31062.09
2022-10-24 06:00:00,1.876,1.927,1.865,1.912,26523.41
2022-10-24 12:00:00,1.91,1.92,1.853,1.884,24923.72
2022-10-24 18:00:00,1.883,1.904,1.865,1.893,19511.77
2022-10-25 00:00:00,1.903,1.958,1.888,1.934,70993.8
2022-10-25 06:00:00,1.92,1.929,1.891,1.907,4743.6
2022-10-25 12:00:00,1.903,2.028,1.898,1.978,118426.22
2022-10-25 18:00:00,1.978,1.998,1.922,1.96,56164.45
2022-10-26 00:00:00,1.961,1.997,1.924,1.976,34817.27
2022-10-26 06:00:00,1.986,2.167,1.982,2.078,36354.95
2022-10-26 12:00:00,2.072,2.18,2.033,2.085,59506.67
2022-10-26 18:00:00,2.083,2.18,2.05,2.058,32065.75
2022-10-27 00:00:00,2.055,2.112,2.042,2.079,26415.52
2022-10-27 06:00:00,2.097,2.1,1.99,2.044,49957.57
2022-10-27 12:00:00,2.04,2.192,2.016,2.141,133519.0
2022-10-27 18:00:00,2.143,2.147,2.015,2.037,40996.56
2022-10-28 00:00:00,2.039,2.05,1.925,1.972,40845.14
2022-10-28 06:00:00,1.976,1.976,1.91,1.946,32438.73
2022-10-28 12:00:00,1.946,2.078,1.93,2.034,44829.69
2022-10-28 18:00:00,2.041,2.078,2.033,2.05,15319.4
2022-10-29 00:00:00,2.048,2.101,2.036,2.066,22010.86
2022-10-29 06:00:00,2.067,2.199,2.064,2.171,43162.67
2022-10-29 12:00:00,2.174,2.373,2.134,2.223,273610.7
2022-10-29 18:00:00,2.212,2.412,2.12,2.303,150721.81
2022-10-30 00:00:00,2.304,2.387,2.197,2.364,57503.05
2022-10-30 06:00:00,2.354,2.427,2.212,2.284,91239.74
2022-10-30 12:00:00,2.286,2.302,2.134,2.21,57613.2
2022-10-30 18:00:00,2.206,2.268,2.149,2.203,46958.34
2022-10-31 00:00:00,2.213,2.273,2.151,2.231,43972.28
2022-10-31 06:00:00,2.232,2.567,2.199,2.552,87806.22
2022-10-31 12:00:00,2.543,2.731,2.418,2.466,290950.92
2022-10-31 18:00:00,2.477,2.503,2.348,2.439,87359.15
2022-11-01 00:00:00,2.428,2.428,2.278,2.293,75010.12
2022-11-01 06:00:00,2.296,2.401,2.288,2.368,148377.77
2022-11-01 12:00:00,2.37,2.575,2.335,2.481,197661.58
2022-11-01 18:00:00,2.474,2.567,2.471,2.502,120542.81
2022-11-02 00:00:00,2.505,2.569,2.386,2.469,193757.99
2022-11-02 06:00:00,2.473,2.68,2.346,2.456,212559.22
2022-11-02 12:00:00,2.448,2.475,2.309,2.33,78999.78
2022-11-02 18:00:00,2.33,2.649,2.33,2.518,322038.41
2022-11-03 00:00:00,2.514,3.0,2.472,2.757,239673.32
2022-11-03 06:00:00,2.757,3.04,2.66,2.719,128328.94
2022-11-03 12:00:00,2.732,2.9,2.677,2.827,99502.19
2022-11-03 18:00:00,2.827,2.827,2.549,2.641,219431.38
2022-11-04 00:00:00,2.639,2.826,2.614,2.807,179516.4
2022-11-04 06:00:00,2.802,2.926,2.755,2.776,72640.81
2022-11-04 12:00:00,2.776,2.867,2.681,2.77,135518.08
2022-11-04 18:00:00,2.77,2.802,2.709,2.717,74764.6
2022-11-05 00:00:00,2.718,2.889,2.685,2.735,52237.47
2022-11-05 06:00:00,2.746,2.872,2.724,2.815,36651.73
2022-11-05 12:00:00,2.811,2.998,2.748,2.856,143806.98
2022-11-05 18:00:00,2.852,2.852,2.648,2.682,104692.1
2022-11-06 00:00:00,2.683,2.701,2.598,2.634,50956.97
2022-11-06 06:00:00,2.636,2.75,2.566,2.692,20996.81
2022-11-06 12:00:00,2.691,2.877,2.67,2.819,159654.59
2022-11-06 18:00:00,2.818,2.824,2.583,2.613,98426.46
2022-11-07 00:00:00,2.618,2.657,2.499,2.597,76788.84
2022-11-07 06:00:00,2.595,2.595,2.418,2.515,36487.32
2022-11-07 12:00:00,2.517,2.634,2.486,2.569,78914.08
2022-11-07 18:00:00,2.573,2.804,2.561,2.681,177138.0
