address,buy1h,sell1h,trade1h,buy_percentage,sell_percentage,liquidity,description,url
A8H7tLgNj9gvMp6jBqednegv3jEbWCK9u5dx9yK5fU7S,593,447,1040,57.01923076923077,42.98076923076923,9066.607083748964,[],https://dexscreener.com/solana/A8H7tLgNj9gvMp6jBqednegv3jEbWCK9u5dx9yK5fU7S
FqWd55Sp629f2wf5zZf8FDgNDWWRko6cUEKAo49BFERX,77,67,144,53.47222222222222,46.52777777777778,3747.5063508038934,"[{'telegram': 'https://t.me/Lonkesol'}, {'twitter': 'https://twitter.com/lonkesol'}]",https://dexscreener.com/solana/FqWd55Sp629f2wf5zZf8FDgNDWWRko6cUEKAo49BFERX
8CD7CCksG3VzJWbGK2z6HDLQVFgzsYGbRwveHTW37AMR,6,11,17,35.294117647058826,64.70588235294117,2596.8280303436272,[{'telegram': 'https://t.me/FirstCatInSpaceonsol'}],https://dexscreener.com/solana/8CD7CCksG3VzJWbGK2z6HDLQVFgzsYGbRwveHTW37AMR
73DRA6CMbuZ9XKYUkp4BPKvbJPNavDGU39Mge3xqWy3f,66,76,142,46.478873239436616,53.52112676056338,4433.643535291587,"[{'telegram': 'https://t.me/Donkesol_portal'}, {'twitter': 'https://twitter.com/Donke_OnSol'}, {'website': 'https://www.donke.online/'}]",https://dexscreener.com/solana/73DRA6CMbuZ9XKYUkp4BPKvbJPNavDGU39Mge3xqWy3f
87oHWi2awXQjUHhBjCAC3Jn89diQyum3NRrk2uTC5gDK,6,14,20,30.0,70.0,3075.604189387295,[{'twitter': 'https://twitter.com/mruramaki/status/1749484065940475982?s=46'}],https://dexscreener.com/solana/87oHWi2awXQjUHhBjCAC3Jn89diQyum3NRrk2uTC5gDK
4fUSk2oNJcYx9qk21eiCb1xULj5KUMrQ2brts4xHG5Hz,40,23,63,63.49206349206349,36.507936507936506,8167.325160035793,[],https://dexscreener.com/solana/4fUSk2oNJcYx9qk21eiCb1xULj5KUMrQ2brts4xHG5Hz
2hcurAaKpPgFvX2YQ68qHMzpvoEpVDjNARe59aP3tdYR,33,15,48,68.75,31.25,3089.0466887196476,"[{'telegram': 'https://t.me/UpsideDownTrump'}, {'twitter': 'https://twitter.com/USDTrumpSol'}, {'website': 'https://www.upsidedowntrump.xyz/'}]",https://dexscreener.com/solana/2hcurAaKpPgFvX2YQ68qHMzpvoEpVDjNARe59aP3tdYR
DVsYn4zGNp7wYsFivUDWBkS6SsX6XA79jJhi8r1NXthS,8,12,20,40.0,60.0,5333.951281166474,"[{'telegram': 'https://t.me/crackcoinsol'}, {'twitter': 'https://twitter.com/crackcoinsol'}, {'website': 'https://crack.black/'}]",https://dexscreener.com/solana/DVsYn4zGNp7wYsFivUDWBkS6SsX6XA79jJhi8r1NXthS
YbASG9mUkKSjF9rMGeKQuqeF6FFRwZYvSQpPAxt9Fdh,38,22,60,63.33333333333333,36.666666666666664,10046.165139943754,[{'telegram': 'https://t.me/obamasdogsolnow'}],https://dexscreener.com/solana/YbASG9mUkKSjF9rMGeKQuqeF6FFRwZYvSQpPAxt9Fdh
6DuaVHiiWmC9NVwANXmzd8YPPt96hvLt5LBsi4tuszRA,4,11,15,26.666666666666668,73.33333333333333,5228.278212847429,"[{'telegram': 'https://t.me/nyandogsol'}, {'twitter': 'https://twitter.com/nyandogsol'}, {'website': 'https://www.nyandogsol.xyz/'}]",https://dexscreener.com/solana/6DuaVHiiWmC9NVwANXmzd8YPPt96hvLt5LBsi4tuszRA
GxvnV3BkeEPm8rkPGaqj3UycjNvYvDBnxhWcXx6nWqDw,5,16,21,23.809523809523807,76.19047619047619,3832.752168813061,"[{'telegram': 'https://t.me/ChowChow_SOL'}, {'twitter': 'https://twitter.com/ChowChowSOL_'}, {'website': 'http://chowchowsol.com'}]",https://dexscreener.com/solana/GxvnV3BkeEPm8rkPGaqj3UycjNvYvDBnxhWcXx6nWqDw
8sE6rdnNKdzVKMkwk3o4Pge4udBdx7wwRBofHu6XkCba,5,8,13,38.46153846153847,61.53846153846154,2849.518326173097,[{'website': 'https://x.com/elonmusk/status/1749481112076751120?s=20'}],https://dexscreener.com/solana/8sE6rdnNKdzVKMkwk3o4Pge4udBdx7wwRBofHu6XkCba
Ej3wKek5U4j3ALsnYjMe2B3H7bLa1iekyfnWYMVH8AZ2,21,27,48,43.75,56.25,3363.7769082210752,"[{'telegram': 'https://t.me/BabyDragonDoge'}, {'website': 'https://x.com/BDragonDogeSol'}]",https://dexscreener.com/solana/Ej3wKek5U4j3ALsnYjMe2B3H7bLa1iekyfnWYMVH8AZ2
