address,decimals,lastTradeUnixTime,liquidity,mc,name,symbol,v24hChangePercent,v24hUSD,token_url
9KNJo5yqo4FEhbgWjpkuiY4HyfdrDvxcncxDTERo3ghr,9,2024-01-23 11:38:02+00:00,3508.2416963601263,427.8084499215772,Erom Inu,Erom,,2387.691999724217,https://birdeye.so/token/9KNJo5yqo4FEhbgWjpkuiY4HyfdrDvxcncxDTERo3ghr
E5SQmBdNoAsSfQFv8i9z9RKNaCPaJ782Y2rLEdfDXwhX,9,2024-01-23 11:38:34+00:00,2242.284097061423,6401.278876324384,Coca Sola,SOLA,,12269.727903359906,https://birdeye.so/token/E5SQmBdNoAsSfQFv8i9z9RKNaCPaJ782Y2rLEdfDXwhX
8e5m9uHEqNoGfTz4FasJW7FXD1BJBaVUpsdVhnb6ZJPr,9,2024-01-23 11:38:45+00:00,5831.285270789881,12497.872464282349,Psicopato,PSICO,,39802.27502928898,https://birdeye.so/token/8e5m9uHEqNoGfTz4FasJW7FXD1BJBaVUpsdVhnb6ZJPr
A8H7tLgNj9gvMp6jBqednegv3jEbWCK9u5dx9yK5fU7S,9,2024-01-23 11:38:29+00:00,4426.365438340474,12709.592838651632,Baby Samoyed,BABYSAMO,,14592.83237682487,https://birdeye.so/token/A8H7tLgNj9gvMp6jBqednegv3jEbWCK9u5dx9yK5fU7S
msNaQCVmhdCg4SkrvVqd63a3R5EZAtBXgSBtWT3SZZv,8,2024-01-23 11:36:22+00:00,1118.5237198183268,617.0220592649473,Yellow Canary,canary,,12251.22008107441,https://birdeye.so/token/msNaQCVmhdCg4SkrvVqd63a3R5EZAtBXgSBtWT3SZZv
DbLJrcUUTSL4VCfkbw7VEwaexFBLUGbthPcYQdgiVeBE,9,2024-01-23 11:38:37+00:00,1320.5964253763027,1987.015153965452,Dramatic Gopher,GOPHER,,43061.055760980584,https://birdeye.so/token/DbLJrcUUTSL4VCfkbw7VEwaexFBLUGbthPcYQdgiVeBE
BusCnGLLqGdb8ZJz3Bfb86mELtGi3nGaF18Vbs861XUr,6,2024-01-23 11:38:43+00:00,1511.821260177132,3481.9124534479797,Buttcoin,Buttcoin,,14546.742662808985,https://birdeye.so/token/BusCnGLLqGdb8ZJz3Bfb86mELtGi3nGaF18Vbs861XUr
C1J38DNBJBmMTMwfjVofH1L9T1QH6SEwGVnnA4Yt9Vte,6,2024-01-23 11:35:48+00:00,1187.8473711632357,1193.0083212247455,HarryPotterMemePonke10Inu,Ponke2.0,,236524.19467761263,https://birdeye.so/token/C1J38DNBJBmMTMwfjVofH1L9T1QH6SEwGVnnA4Yt9Vte
FqWd55Sp629f2wf5zZf8FDgNDWWRko6cUEKAo49BFERX,3,2024-01-23 11:38:21+00:00,3484.085233298789,4042.93972177681,Lonke,LONKE,,130162.11805368775,https://birdeye.so/token/FqWd55Sp629f2wf5zZf8FDgNDWWRko6cUEKAo49BFERX
H5iN4NbGr8C8FWbYnhnUgXA1UXhjgUgCrYC56vQwvTwM,1,2024-01-23 11:37:34+00:00,1123.2565049585114,912.5357465486758,ZOOMER,ZOOMER,,93203.64780291189,https://birdeye.so/token/H5iN4NbGr8C8FWbYnhnUgXA1UXhjgUgCrYC56vQwvTwM
